Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
69.0	-0.05912341	-0.05242098	-0.05764629	0.008430123	-0.027927697	-0.048127294	-0.036420286
72.0	-0.05174487	-0.042059034	-0.052238494	0.0150747895	-0.029459357	-0.047956765	-0.03281015
Compound=>['Drug-C_GeneOff', 'Drug-C', 'DMSO_Drug-C_GeneOff']	Drug-C 1.4 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 2.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 3.16 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 4.74 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 7.11 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 10.67 nM DMSO_Drug-C_GeneOff 0.1 % 	Drug-C 16.0 nM DMSO_Drug-C_GeneOff 0.1 % 
0.0	-0.023889542	-0.016617775	-0.023889542	-0.023889542	-0.023889542	-0.023889542	-0.023889542
3.0	-0.025321305	-0.016153142	-0.034557104	-0.034557104	-0.034557104	-0.033679724	-0.034557104
6.0	-0.022403002	-0.014235392	-0.032333642	-0.02931279	-0.02931279	-0.023985207	-0.02931279
9.0	-0.011569858	-0.010535061	-0.01734966	-0.01734966	-0.01734966	-0.006189704	-0.01734966
12.0	-0.019465506	-0.017013371	-0.019465506	-0.019465506	-0.019465506	-0.00061893463	0.011029005
15.0	-0.01717484	-0.01717484	-0.01717484	-0.01717484	-0.01717484	0.012437403	0.041039906
18.0	-0.018063903	-0.018063903	-0.018063903	-0.018063903	-0.018063903	0.018002987	0.047583647
21.0	-0.015553951	-0.015553951	-0.015553951	-0.015553951	-0.015553951	0.03369963	0.049849465
24.0	-0.024661124	-0.024661124	-0.024661124	-0.024661124	-0.024661124	0.023337066	0.046884395
27.0	-0.02071321	-0.02071321	-0.02071321	-0.02071321	-0.02071321	0.032398283	0.055608973
30.0	-0.027554393	-0.027554393	-0.027554393	-0.027554393	-0.027554393	0.031017423	0.058813684
33.0	-0.024183393	-0.024183393	-0.024183393	-0.024183393	-0.024183393	0.038934767	0.07139496
36.0	-0.020923615	-0.020923615	-0.020923615	-0.020923615	-0.020923615	0.03724786	0.07693204
39.0	-0.019786835	-0.019786835	-0.019786835	-0.019786835	-0.019786835	0.04432404	0.07518949
42.0	-0.029038906	-0.030480027	-0.030480027	-0.030480027	-0.030480027	0.03327198	0.07164393
45.0	-0.023808777	-0.027607441	-0.027607441	-0.027607441	-0.027607441	0.03723073	0.06974782
48.0	-0.01627767	-0.019183517	-0.019183517	-0.019183517	-0.019183517	0.035559893	0.07637168
51.0	-0.020477653	-0.022403121	-0.022403121	-0.022403121	-0.022403121	0.03136885	0.07467149
54.0	-0.015109956	-0.021943808	-0.021943808	-0.021943808	-0.021943808	0.02655363	0.07193448
57.0	-0.011593163	-0.016741157	-0.016741157	-0.016741157	-0.016741157	0.025754571	0.0763416
60.0	-0.011324048	-0.015679717	-0.015679717	-0.015679717	-0.015679717	0.019261658	0.07605725
63.0	-0.01044482	-0.014535069	-0.014535069	-0.014535069	-0.014535069	0.013436854	0.07370326
