Compound=>['Drug-A_GeneOff', 'Drug-A', 'DMSO_Drug-A_GeneOff']	Drug-A 45.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 137.2 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 411.5 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 1234.6 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 3703.7 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 11111.1 nM DMSO_Drug-A_GeneOff 0.1 % 	Drug-A 33333.3 nM DMSO_Drug-A_GeneOff 0.1 % 
0.0	0.023889542	0.023889542	0.023889542	0.023889542	0.023889542	0.023889542	0.023889542
3.0	0.034557104	0.03860067	0.034557104	0.034557104	0.034557104	0.034557104	0.034557104
6.0	0.02931279	0.033546105	0.032333642	0.02931279	0.02931279	0.02931279	0.02931279
9.0	0.01734966	0.01734966	0.01734966	0.01734966	0.01734966	0.01734966	0.01734966
12.0	0.019465506	0.019465506	0.019465506	0.019465506	0.019465506	0.019465506	0.019465506
15.0	0.01717484	0.01717484	0.01717484	0.01717484	0.01717484	0.01717484	0.022479989
18.0	0.018063903	0.018063903	0.018063903	0.018063903	0.018063903	0.018063903	0.045812123
21.0	0.015553951	0.015553951	0.015553951	0.015553951	0.015553951	0.015553951	0.06655578
24.0	0.024661124	0.024661124	0.024661124	0.024661124	0.024661124	0.024661124	0.083046876
27.0	0.02071321	0.02071321	0.02071321	0.02071321	0.02071321	0.02071321	0.07787873
30.0	0.027554393	0.027554393	0.027554393	0.027554393	0.027554393	0.027554393	0.09004033
33.0	0.024183393	0.024183393	0.024183393	0.024183393	0.024183393	0.024183393	0.09330722
36.0	0.020923615	0.020923615	0.020923615	0.020923615	0.020923615	0.02648059	0.101166636
39.0	0.019786835	0.019786835	0.019786835	0.019786835	0.019786835	0.019786835	0.10919074
42.0	0.030480027	0.030480027	0.030480027	0.030480027	0.030480027	0.032884408	0.12581433
45.0	0.027607441	0.027607441	0.027607441	0.027607441	0.027607441	0.027607441	0.12883882
48.0	0.019183517	0.019183517	0.019183517	0.019183517	0.019183517	0.019183517	0.12197196
51.0	0.022403121	0.022403121	0.022403121	0.022403121	0.022403121	0.022403121	0.12908567
54.0	0.021943808	0.021943808	0.021943808	0.021943808	0.021943808	0.021943808	0.12895118
57.0	0.016741157	0.016741157	0.016741157	0.016741157	0.016741157	0.016741157	0.12243083
60.0	0.015679717	0.015679717	0.015679717	0.015679717	0.015679717	0.015679717	0.12044544
63.0	0.014535069	0.014535069	0.014535069	0.014535069	0.014535069	0.014535069	0.11624864
66.0	0.011297166	0.011297166	0.011297166	0.011297166	0.011297166	0.011297166	0.10805449
69.0	0.008705914	0.008705914	0.008705914	0.008705914	0.008705914	0.008705914	0.099777885
