Compound=>['BAY1895344_MK-1775singleEffect', 'BAY1895344', 'MK-1775singleEffect']	BAY1895344 0.16 nM MK-1775singleEffect 55.69 nM 	BAY1895344 0.5 nM MK-1775singleEffect 55.69 nM 	BAY1895344 1.59 nM MK-1775singleEffect 55.69 nM 	BAY1895344 5.09 nM MK-1775singleEffect 55.69 nM 	BAY1895344 16.29 nM MK-1775singleEffect 55.69 nM 	BAY1895344 52.12 nM MK-1775singleEffect 55.69 nM 	BAY1895344 166.79 nM MK-1775singleEffect 55.69 nM 
24.0	0.19823435	0.10833043	0.10833043	0.12553538	0.13984215	0.12996566	0.20122933	0.11213599	0.012577653	0.012577653	0.03163018	0.04747329	0.03653621	0.11545259	0.14754176	0.051953554	0.051953554	0.07024632	0.08545764	0.07495671	0.1507261	0.29995114	0.22145295	0.22145295	0.23647518	0.2489669	0.24034342	0.30256614	0.591607	0.5458129	0.5458129	0.5545765	0.56186396	0.5568332	0.59313256	0.69363505	0.6592816	0.6592816	0.6658558	0.67132264	0.6675487	0.69477946	0.71882164	0.68729246	0.68729246	0.69332623	0.6983436	0.6948799	0.719872
26.0	0.19669332	0.11718917	0.11718917	0.13127549	0.1538832	0.14253762	0.20499486	0.10894831	0.02075994	0.02075994	0.036384914	0.061462056	0.0488772	0.11815662	0.15129118	0.067293525	0.067293525	0.082176	0.10606147	0.09407465	0.1600619	0.3209349	0.25372708	0.25372708	0.26563478	0.2847459	0.27515507	0.3279525	0.596039	0.5560585	0.5560585	0.5631422	0.57451093	0.5688056	0.6002136	0.7076312	0.6786951	0.6786951	0.6838219	0.6920501	0.6879208	0.71065253	0.72374934	0.6964085	0.6964085	0.7012527	0.7090273	0.70512563	0.72660416
28.0	0.18668362	0.11027223	0.11027223	0.11027223	0.13160172	0.14320987	0.20189053	0.091786005	0.006458938	0.006458938	0.006458938	0.030277146	0.04323974	0.10876724	0.14116672	0.060478985	0.060478985	0.060478985	0.083002165	0.095259964	0.15722466	0.32034928	0.25649583	0.25649583	0.25649583	0.2743199	0.2840203	0.333057	0.6004872	0.56295276	0.56295276	0.56295276	0.5734301	0.5791322	0.607957	0.71009284	0.68285596	0.68285596	0.68285596	0.6904589	0.6945966	0.71551335	0.7277597	0.70218265	0.70218265	0.70218265	0.7093222	0.71320784	0.7328499
30.0	0.16705728	0.104690194	0.104690194	0.104690194	0.13721322	0.124421336	0.20459192	0.081445	0.012667656	0.012667656	0.012667656	0.04853348	0.034426823	0.122837566	0.12505099	0.059538662	0.059538662	0.059538662	0.093701854	0.08026487	0.16447854	0.3272795	0.27690917	0.27690917	0.27690917	0.30317616	0.2928449	0.35759413	0.598239	0.5681569	0.5681569	0.5681569	0.583844	0.57767403	0.61634344	0.7130222	0.6915345	0.6915345	0.6915345	0.70273983	0.6983326	0.7259542	0.72845894	0.70812714	0.70812714	0.70812714	0.71872973	0.71455956	0.7406953
32.0	0.16306153	0.10332322	0.10332322	0.10332322	0.11542684	0.13342112	0.21814191	0.076291755	0.010360062	0.010360062	0.010360062	0.023718525	0.043578375	0.1370826	0.12697224	0.064657986	0.064657986	0.064657986	0.07728352	0.096053734	0.18442772	0.34421104	0.29740268	0.29740268	0.29740268	0.30688655	0.3209861	0.38736966	0.61481845	0.5873253	0.5873253	0.5873253	0.5928957	0.60117716	0.6401679	0.71681225	0.6965991	0.6965991	0.6965991	0.7006945	0.7067831	0.7354493	0.74068666	0.7221776	0.7221776	0.7221776	0.72592777	0.731503	0.75775254
34.0	0.18423149	0.106837034	0.106837034	0.106837034	0.11182584	0.1442992	0.24013726	0.09828523	0.012736797	0.012736797	0.012736797	0.018251207	0.054145828	0.16008103	0.15704262	0.07706869	0.07706869	0.07706869	0.082223766	0.11577943	0.2148117	0.3699731	0.3102005	0.3102005	0.3102005	0.31405342	0.33913293	0.41314974	0.6280358	0.5927464	0.5927464	0.5927464	0.5950211	0.60982794	0.653527	0.7376469	0.71275663	0.71275663	0.71275663	0.7143611	0.7248046	0.7556263	0.75336045	0.729961	0.729961	0.729961	0.7314693	0.7412873	0.770263
36.0	0.17948833	0.101887524	0.101887524	0.101887524	0.10306538	0.12920281	0.25214487	0.09585431	0.01034373	0.01034373	0.01034373	0.011641646	0.04044324	0.17591669	0.15592432	0.076094925	0.076094925	0.076094925	0.077306606	0.10419467	0.23066749	0.37987342	0.32122427	0.32122427	0.32122427	0.32211447	0.34186864	0.43478584	0.6456782	0.61216784	0.61216784	0.61216784	0.61267644	0.6239634	0.6770535	0.7447785	0.72064066	0.72064066	0.72064066	0.72100705	0.7291371	0.76737845	0.7600028	0.7373048	0.7373048	0.7373048	0.7376493	0.74529445	0.78125465
38.0	0.17246887	0.09849751	0.09849751	0.09849751	0.09849751	0.14784893	0.25697866	0.09548404	0.014631152	0.014631152	0.014631152	0.014631152	0.06857372	0.18785574	0.16008735	0.08500922	0.08500922	0.08500922	0.08500922	0.13509904	0.24586156	0.39993307	0.34629428	0.34629428	0.34629428	0.34629428	0.38208044	0.4612136	0.6588455	0.6283504	0.6283504	0.6283504	0.6283504	0.64869577	0.6936852	0.751535	0.7293252	0.7293252	0.7293252	0.7293252	0.7441429	0.77690893	0.76704973	0.7462268	0.7462268	0.7462268	0.7462268	0.7601192	0.79083925
40.0	0.15406466	0.100513935	0.100513935	0.100513935	0.100513935	0.15059157	0.2827348	0.076372355	0.017903447	0.017903447	0.017903447	0.017903447	0.07258029	0.21685982	0.15319337	0.0995875	0.0995875	0.0995875	0.0995875	0.1497167	0.28199604	0.3957734	0.35752374	0.35752374	0.35752374	0.35752374	0.3932927	0.4876787	0.66078895	0.63931566	0.63931566	0.63931566	0.63931566	0.65939623	0.7123843	0.75649065	0.74107563	0.74107563	0.74107563	0.74107563	0.7554909	0.7935294	0.77328575	0.7589339	0.7589339	0.7589339	0.7589339	0.7723549	0.8077699
42.0	0.1602747	0.100325406	0.100325406	0.100325406	0.100325406	0.1419916	0.28612846	0.081753	0.01619792	0.01619792	0.01619792	0.01619792	0.061760265	0.21937521	0.15198755	0.09144664	0.09144664	0.09144664	0.09144664	0.13352403	0.27908337	0.41546398	0.37373304	0.37373304	0.37373304	0.37373304	0.40273705	0.5030713	0.67336655	0.65004766	0.65004766	0.65004766	0.65004766	0.6662548	0.7223207	0.7628334	0.7459017	0.7459017	0.7459017	0.7459017	0.7576696	0.7983787	0.7781299	0.76229024	0.76229024	0.76229024	0.76229024	0.77329916	0.81138265
44.0	0.15502152	0.095843315	0.095843315	0.095843315	0.095843315	0.16025662	0.2889904	0.08895255	0.0251472	0.0251472	0.0251472	0.0251472	0.094597	0.23339649	0.1634539	0.104866266	0.104866266	0.104866266	0.104866266	0.16863677	0.29608586	0.4267836	0.38663828	0.38663828	0.38663828	0.38663828	0.430335	0.5176654	0.68596977	0.6639766	0.6639766	0.6639766	0.6639766	0.6879154	0.73575836	0.7740514	0.7582271	0.7582271	0.7582271	0.7582271	0.7754513	0.80987495	0.78656626	0.77161837	0.77161837	0.77161837	0.77161837	0.7878886	0.82040554
46.0	0.14928156	0.0967325	0.0967325	0.0967325	0.0967325	0.1610079	0.31428844	0.08255662	0.02588594	0.02588594	0.02588594	0.02588594	0.09520269	0.2605056	0.16066615	0.10882032	0.10882032	0.10882032	0.10882032	0.17223556	0.32346487	0.43386006	0.39888948	0.39888948	0.39888948	0.39888948	0.44166377	0.5436696	0.689897	0.67074186	0.67074186	0.67074186	0.67074186	0.6941715	0.7500451	0.77663547	0.7628382	0.7628382	0.7628382	0.7628382	0.77971435	0.81995964	0.78895783	0.7759217	0.7759217	0.7759217	0.7759217	0.79186684	0.8298919
