Compound=>['BAY1895344_MK-1775singleEffect', 'BAY1895344', 'MK-1775singleEffect']	BAY1895344 0.16 nM MK-1775singleEffect 55.69 nM 	BAY1895344 0.5 nM MK-1775singleEffect 55.69 nM 	BAY1895344 1.59 nM MK-1775singleEffect 55.69 nM 	BAY1895344 5.09 nM MK-1775singleEffect 55.69 nM 	BAY1895344 16.29 nM MK-1775singleEffect 55.69 nM 	BAY1895344 52.12 nM MK-1775singleEffect 55.69 nM 	BAY1895344 166.79 nM MK-1775singleEffect 55.69 nM 
22.0	-0.07139525	-0.07135284	-0.027255356	-0.07551244	-0.13113587	-0.020620018	-0.043573856	-0.10551422	0.031758904	-0.019554377	-0.03774057	-0.068479896	0.05530222	0.258604	-0.09485066	-0.041704595	-0.012242675	-0.037376717	-0.09997931	0.112007394	0.20319358	-0.05403292	0.04674244	0.018069625	0.046358824	0.023639232	0.1713639	0.1854744	-0.034682512	-0.045957506	-0.0017312765	-0.040195107	0.019975364	0.0517565	-0.0108213425	-0.07265276	-0.022614896	-0.014749587	-0.030735433	-0.016527355	-0.0071021914	-0.023409665	-0.13643372	-0.0600906	-0.023961782	-0.027688742	-0.035294175	0.007030368	-0.03141761
24.0	-0.07084826	-0.06752175	-0.032415926	-0.054377988	-0.13984215	-0.030950904	-0.05637586	-0.11213599	0.016029835	-0.012577653	-0.03163018	-0.04747329	0.065744825	0.27867675	-0.096833885	-0.026115835	-0.0024638176	-0.02557806	-0.08545764	0.12842679	0.20867346	-0.05348146	0.05775875	0.059016705	0.047913417	0.05893269	0.19196782	0.19405147	-0.052743435	-0.061357737	0.0019029975	-0.047091603	0.029552996	0.052585423	-0.0129083395	-0.077515066	-0.016465724	-0.017329335	-0.025006115	-0.008232415	-0.005064249	-0.022225797	-0.116802156	-0.043010354	-0.022824824	-0.027326107	-0.030568063	0.01530838	-0.029685616
26.0	-0.08364643	-0.061611533	-0.027555883	-0.06326993	-0.13203578	-0.04081759	-0.021946728	-0.10894831	0.013386488	-0.02075994	-0.036384914	-0.061462056	0.05588607	0.29248804	-0.08904676	-0.016591012	-0.002580583	-0.050569266	-0.10290094	0.14050634	0.23249233	-0.059149742	0.043356538	0.034546614	0.0400815	0.042212635	0.19811642	0.20476645	-0.0423097	-0.05014962	-0.0023682117	-0.05221784	0.020993233	0.046100378	0.014863372	-0.08311027	-0.030780673	-0.026185036	-0.03257084	-0.022359371	-0.010371685	-0.012850046	-0.111011624	-0.046523333	-0.015508175	-0.026853561	-0.030376673	0.0115376115	-0.026354373
28.0	-0.08211139	-0.068237305	-0.028363168	-0.08003497	-0.12728354	-0.026704788	-0.0025622249	-0.091786005	0.021283984	-0.006458938	-0.006458938	-0.030277146	0.05130217	0.33886287	-0.0879145	-0.040183306	-0.0036141276	-0.04329866	-0.0670581	0.13444269	0.2639892	-0.04558873	0.049584925	0.04502654	0.07279122	0.07860595	0.20811772	0.22077507	-0.039348662	-0.077570915	0.0015106201	-0.056960642	0.025169373	0.049020648	0.01462549	-0.07092303	-0.025098443	-0.015095592	-0.022924423	-0.012425661	-0.0071927905	-0.01639998	-0.09405458	-0.041933656	-0.00967741	-0.021187901	-0.024214864	0.008879125	-0.027357519
30.0	-0.055768073	-0.06793165	-0.018902004	-0.075030565	-0.12250291	-0.030543484	-0.0088080615	-0.081445	-0.0010001063	-0.012667656	-0.012667656	-0.04853348	0.08417384	0.33166465	-0.059045523	-0.034932554	-0.007689357	-0.036942303	-0.07601376	0.17838198	0.28376853	-0.048763454	0.03283167	0.04610336	0.067130566	0.0584718	0.21716774	0.20946616	-0.034077942	-0.060361207	-0.0028906465	-0.04712051	0.027956903	0.05768639	0.02211541	-0.06431574	-0.026642919	-0.0146000385	-0.025940537	-0.013269782	-0.001858294	-0.010070205	-0.07913399	-0.03781998	-0.013916612	-0.0228585	-0.027408004	0.023852468	-0.021184862
32.0	-0.05847022	-0.059703827	-0.029610157	-0.057710707	-0.09887469	-0.023603082	0.006410122	-0.076291755	-0.00919342	-0.010360062	-0.010360062	-0.023718525	0.07971622	0.34336498	-0.05712025	-0.05105698	-0.02177471	-0.019414306	-0.056856588	0.16663907	0.28947765	-0.050077677	0.030148506	0.031682312	0.07372618	0.07751113	0.20785612	0.21211359	-0.036569595	-0.053447604	-0.0069912076	-0.055815637	0.031473756	0.048160017	0.013599455	-0.05859822	-0.016901255	-0.01618123	-0.019816399	-0.0013039708	-0.003072679	-0.0011690855	-0.08693957	-0.043069363	-0.018037915	-0.025470018	-0.016364038	0.016457915	-0.025708199
34.0	-0.075273186	-0.06788939	-0.042392075	-0.07080823	-0.08851184	-0.0329002	0.000106588006	-0.09828523	-0.00337857	-0.012736797	-0.012736797	-0.018251207	0.07687621	0.3379693	-0.09162289	-0.029574513	-0.02681452	-0.03386718	-0.075424604	0.16298428	0.28593016	-0.0560157	0.053354442	0.028233945	0.05483085	0.07790607	0.20664474	0.19378147	-0.039221346	-0.051270604	0.0049899817	-0.055262625	0.04094076	0.051971972	0.016708434	-0.06697273	-0.026562095	-0.020646095	-0.02833283	-0.0072674155	-0.008954048	-0.011084378	-0.080102384	-0.032616794	-0.016409278	-0.026249528	-0.0134574175	0.013621926	-0.03291899
36.0	-0.090385824	-0.08156282	-0.039770484	-0.07826102	-0.09222121	-0.010953397	0.011834383	-0.09585431	-0.01034373	-0.01034373	-0.01034373	-0.011641646	0.10461885	0.3542292	-0.1005947	-0.037391424	-0.03294021	-0.04995823	-0.051430203	0.18610373	0.29841125	-0.04229167	0.045807064	0.02175361	0.048947632	0.07694268	0.21593785	0.20136476	-0.04016137	-0.051196575	-0.0038030744	-0.05690205	0.03619224	0.05310303	0.0105781555	-0.06444776	-0.028452277	-0.023798525	-0.023762703	-0.007836044	-0.005102217	-0.0120821	-0.08099127	-0.03431225	-0.007384479	-0.021612525	-0.011228383	0.014790773	-0.03206992
38.0	-0.066327184	-0.073634386	-0.027309239	-0.06295389	-0.07964069	-0.011341661	0.024404496	-0.09548404	-0.0065849423	-0.014631152	-0.014631152	-0.014631152	0.09552037	0.3839507	-0.09468573	-0.047792375	-0.028875709	-0.053336978	-0.033851326	0.20010985	0.29282448	-0.057724863	0.052419186	0.008875191	0.033914626	0.06934589	0.20379102	0.1950773	-0.0475989	-0.067121625	-0.006807804	-0.047721684	0.027678609	0.045640588	0.009425044	-0.055856347	-0.027052283	-0.02075994	-0.025109828	-0.002646923	-0.015768409	-0.012029707	-0.06774455	-0.021576107	-0.009131312	-0.02666545	-0.0101697445	0.008370578	-0.031151533
40.0	-0.04521811	-0.067907095	-0.025685132	-0.06582242	-0.08076787	-0.011268869	0.014805019	-0.076372355	-0.008058071	-0.017903447	-0.017903447	-0.017903447	0.09625499	0.34830582	-0.09030266	-0.03691697	-0.041905224	-0.05533564	-0.0413841	0.19283524	0.28650454	-0.03195709	0.044804513	0.014932156	0.030351162	0.069353044	0.200856	0.18244094	-0.030354023	-0.047890127	-0.00580436	-0.05273199	0.03689772	0.050198376	0.008337796	-0.058707893	-0.021731496	-0.023578823	-0.027008057	-0.007000506	-0.009492636	-0.022226095	-0.058953404	-0.035681844	-0.010011435	-0.02978456	-0.014266312	0.009767234	-0.038337052
42.0	-0.05884452	-0.053830206	-0.043539524	-0.0691461	-0.086263716	0.0014957935	0.021773338	-0.081753	-0.012735188	-0.01619792	-0.01619792	-0.01619792	0.114327	0.3723318	-0.048698127	-0.04329872	-0.027236879	-0.059977412	-0.02943623	0.22990593	0.29432565	-0.02067256	0.042307734	-0.0043941736	0.042404532	0.061080813	0.20962271	0.17829323	-0.03139794	-0.034957528	-0.0017392635	-0.05632162	0.031279027	0.048531115	0.004684627	-0.050051272	-0.020630956	-0.010184765	-0.014513254	-0.0008518696	0.0002373457	-0.010811806	-0.06105119	-0.022866964	-0.016855597	-0.021736383	-0.013960481	0.012866139	-0.032170534
44.0	-0.04497108	-0.042543054	-0.01907456	-0.051950157	-0.06725687	0.0010756254	0.044280916	-0.08895255	-0.0006992817	-0.0251472	-0.0251472	-0.023922503	0.115735695	0.37686402	-0.0636588	-0.037228763	-0.02670294	-0.05256331	-0.020764649	0.22395262	0.3048282	-0.020321876	0.036818445	0.0007202029	0.04220283	0.057439327	0.19457167	0.17865556	-0.027653754	-0.028085053	-0.00525558	-0.046473205	0.029298306	0.04247576	-0.0032090545	-0.05581796	-0.02581191	-0.03052032	-0.026011348	-0.007114649	-0.009176493	-0.012863755	-0.0584141	-0.031893194	-0.018845558	-0.024686337	-0.0132218	0.008447707	-0.03040731
46.0	-0.050844014	-0.066593766	-0.019839883	-0.06622493	-0.07554823	-0.018429652	0.035378218	-0.08255662	-0.0101056695	-0.02588594	-0.02588594	-0.02588594	0.13505918	0.36622736	-0.049058244	-0.02485323	-0.03866136	-0.05717033	-0.010524988	0.23786305	0.30726612	-0.01642692	0.054562747	0.0021959543	0.04986459	0.06768018	0.18944046	0.16862315	-0.021556318	-0.028094113	-0.0066072345	-0.03649962	0.02132827	0.042910635	-0.010399699	-0.049146414	-0.018646061	-0.021363974	-0.01665783	-0.0028216243	-0.003715992	-0.01774609	-0.06399	-0.035241008	-0.011801481	-0.024014473	-0.011187196	0.009806275	-0.03341192
